year_month,survey_organization,approve_percent,disapprove_percent
2012-03,PPP (D),47.5,47.5
2012-03,Pew,47.5,41.5
2012-03,Rasmussen,47.0,52.0
2012-03,Reason/Rupe,48.0,46.0
2012-03,YouGov/Economist,41.5,51.5
2012-04,ABC/Post,50.0,45.0
2012-04,CBS/Times,48.0,42.0
2012-04,CNN,48.0,48.5
2012-04,DailyKos/SEIU/PPP (D),45.5,49.0
2012-04,Democracy Corps (D),45.0,50.0
2012-04,FOX,39.5,52.0
2012-04,Gallup,48.0,46.0
2012-04,Ipsos/Reuters,43.0,53.0
2012-04,NBC/WSJ,49.0,46.0
2012-04,PPP (D),48.0,47.0
2012-04,Pew,46.0,45.0
2012-04,Politico/GWU/Battleground,43.5,51.0
2012-04,Quinnipiac,43.0,52.0
2012-04,Rasmussen,47.0,51.0
2012-04,Resurgent Republic (R),45.5,49.0
2012-04,YouGov/Economist,40.5,53.0
2012-05,ABC/Post,47.0,49.0
2012-05,ARG,44.0,47.5
2012-05,CNN,52.0,47.0
2012-05,DailyKos/SEIU/PPP (D),45.0,49.5
2012-05,FOX,49.0,47.0
2012-05,Gallup,47.0,46.0
2012-05,Ipsos/Reuters,49.0,43.5
2012-05,NBC/WSJ,48.0,46.0
2012-05,Pew,46.0,42.0
2012-05,Rasmussen,49.0,50.0
2012-05,YouGov/Economist,41.5,53.0
2012-06,AP-GFK,49.0,48.0
2012-06,ARG,37.0,56.0
2012-06,Bloomberg,53.0,44.0
2012-06,CNN,47.5,50.0
2012-06,DailyKos/SEIU/PPP (D),44.0,50.0
2012-06,Democracy Corps (D),47.0,48.0
2012-06,FOX,48.5,44.0
2012-06,Gallup,46.0,47.0
2012-06,Ipsos/Reuters,41.0,52.5
2012-06,NBC/WSJ,47.0,48.0
2012-06,Newsweek/Daily Beast,45.0,54.0
2012-06,Pew,48.5,44.0
2012-06,Rasmussen,47.0,52.0
2012-06,Tarrance (R),49.0,46.0
2012-06,YouGov/Economist,41.0,52.5
2012-07,ABC/Post,47.0,49.0
2012-07,ARG,42.5,55.0
2012-07,CBS/Times,39.5,47.5
2012-07,DailyKos/SEIU/PPP (D),42.0,50.0
2012-07,Democracy Corps (D),50.0,46.0
2012-07,FOX,46.0,48.0
2012-07,Gallup,46.0,47.0
2012-07,Ipsos/Reuters,44.5,44.0
2012-07,Marist/McClatchy,45.5,47.0
2012-07,NBC/WSJ,49.0,48.0
2012-07,NPR,49.0,46.0
2012-07,Quinnipiac,42.5,50.5
2012-07,Rasmussen,47.0,51.0
2012-07,YouGov/Economist,42.0,52.5
2012-08,ABC/Post,50.0,46.0
2012-08,AP-GFK,49.0,49.0
2012-08,ARG,47.5,47.5
2012-08,CNN,48.0,46.5
2012-08,DailyKos/SEIU/PPP (D),43.5,50.5
2012-08,Democracy Corps (D),47.0,50.0
2012-08,FOX,45.5,47.5
2012-08,Gallup,45.0,48.0
2012-08,Ipsos/Reuters,49.0,48.0
2012-08,NBC/WSJ,48.0,49.0
2012-08,PPP (D),49.0,49.0
2012-08,Rasmussen,48.0,51.0
2012-08,Resurgent Republic (R),50.0,47.5
2012-08,Tarrance (R),46.0,50.0
2012-08,USC/LA Times,47.0,47.0
2012-08,YouGov/Economist,40.0,53.0
2012-09,ABC/Post,49.5,45.5
2012-09,AP-GFK,56.0,40.0
2012-09,ARG,48.0,48.0
2012-09,Allstate/National Journal,50.0,46.0
2012-09,Bloomberg,49.0,46.0
2012-09,CBS/Times,51.0,42.0
2012-09,CNN,46.5,48.0
2012-09,DailyKos/SEIU/PPP (D),45.0,51.0
2012-09,Democracy Corps (D),49.0,48.0
2012-09,FOX,48.0,48.0
2012-09,Gallup,49.5,44.0
2012-09,Ipsos/Reuters,44.5,47.0
2012-09,JZ Analytics,49.5,48.5
2012-09,McLaughlin (R-American Conservative Union),51.0,48.0
2012-09,NBC/WSJ,49.5,48.0
2012-09,NPR,50.0,46.0
2012-09,Politico/GWU/Battleground,49.5,48.0
2012-09,Quinnipiac,48.0,49.0
2012-09,Rasmussen,49.0,50.0
2012-09,Reason/Rupe,51.0,46.0
2012-09,UPI/CVOTER,49.0,47.0
2012-09,YouGov/Economist,46.0,49.0
2012-10,ABC/Post,50.0,48.0
2012-10,AP-GFK,52.0,45.0
2012-10,CBS,49.0,42.0
2012-10,CBS/Times,46.0,43.0
2012-10,DailyKos/SEIU/PPP (D),43.0,53.0
2012-10,Democracy Corps (D),50.0,48.0
2012-10,FOX,46.0,50.0
2012-10,Gallup,50.0,45.0
2012-10,Gravis Marketing,39.0,49.0
2012-10,High Point University,47.0,48.0
2012-10,NBC/WSJ,49.0,48.0
2012-10,NPR,45.5,51.5
2012-10,PPP (D),48.0,50.0
2012-10,PPP (D-Americans United for Change),45.0,51.0
2012-10,Politico/GWU/Battleground,50.0,48.0
2012-10,Purple Strategies,44.0,48.0
2012-10,Quinnipiac,50.0,48.0
2012-10,Rasmussen,49.0,50.0
2012-10,UPI/CVOTER,50.0,45.0
2012-10,YouGov/Economist,44.0,54.0
2012-11,ABC/Post,51.0,46.5
2012-11,AP-GFK,57.0,41.0
2012-11,ARG,53.0,43.0
2012-11,Allstate/National Journal,54.0,42.0
2012-11,CNN,51.0,45.0
2012-11,DailyKos/SEIU/PPP (D),45.5,50.5
2012-11,Democracy Corps (D),52.0,45.0
2012-11,GQR (D),51.0,45.0
2012-11,Gallup,52.0,42.0
2012-11,Gravis Marketing,46.0,49.0
2012-11,NBC/WSJ,49.0,49.0
2012-11,PPP (D),48.0,48.0
2012-11,PPP (D-Americans United for Change),48.0,46.5
2012-11,Quinnipiac,53.0,40.0
2012-11,Rasmussen,53.0,45.0
2012-11,YouGov/Economist,45.0,50.5
2012-12,ABC/Post,54.0,42.0
2012-12,ARG,50.0,44.0
2012-12,CBS,55.0,37.0
2012-12,CNN,48.0,46.5
2012-12,FOX,47.0,46.5
2012-12,Gallup,53.0,41.0
2012-12,JZ Analytics,53.0,45.0
2012-12,Marist/McClatchy,48.0,44.5
2012-12,NBC/WSJ,53.0,43.0
2012-12,Politico/GWU/Battleground,50.0,47.0
2012-12,Rasmussen,56.0,43.0
2012-12,YouGov/Economist,48.0,47.0
2013-01,ABC/Post,54.5,41.0
2013-01,AP-GFK,54.0,42.0
2013-01,ARG,52.0,42.0
2013-01,CBS/Times,51.0,41.0
2013-01,CNN,53.0,45.0
2013-01,Democracy Corps (D),54.0,44.0
2013-01,FOX,42.0,48.0
2013-01,Gallup,52.0,42.0
2013-01,NBC/WSJ,52.0,44.0
2013-01,PPP (D),46.0,51.0
2013-01,Pew,50.0,41.0
2013-01,Quinnipiac,43.0,46.0
2013-01,Rasmussen,54.0,45.0
2013-01,Reason/Rupe,48.0,44.0
2013-01,YouGov/Economist,44.5,50.0
2013-02,ARG,49.0,47.0
2013-02,Bloomberg,55.0,40.0
2013-02,FOX,44.5,46.0
2013-02,Gallup,51.0,42.5
2013-02,NBC/WSJ,50.0,45.0
2013-02,Pew/USA Today,49.0,42.0
2013-02,Quinnipiac,40.0,49.0
2013-02,Rasmussen,52.0,46.0
2013-02,Reason/Rupe,48.0,44.0
2013-02,YouGov/Economist,43.5,49.5
2013-03,ABC/Post,50.0,46.0
2013-03,ARG,49.0,46.0
2013-03,CNN,44.0,51.5
2013-03,Democracy Corps (D),48.0,49.0
2013-03,FOX,42.5,50.5
2013-03,Gallup,48.0,45.0
2013-03,Ipsos/Reuters (Web),45.0,50.5
2013-03,McClatchy/Marist,46.0,47.5
2013-03,Pew,50.0,42.5
2013-03,Quinnipiac,46.5,45.5
2013-03,Rasmussen,51.0,48.0
2013-03,YouGov/Economist,44.5,50.0
2013-04,ABC/Post,50.0,45.0
2013-04,AP-GFK,50.0,47.0
2013-04,ARG,50.0,47.0
2013-04,Allstate/National Journal,46.0,49.0
2013-04,CNN,48.0,49.5
2013-04,FOX,46.5,45.0
2013-04,Fairleigh Dickinson,42.5,41.5
2013-04,Gallup,49.5,43.0
2013-04,Ipsos/Reuters (Web),44.0,51.0
2013-04,JZ Analytics,47.5,49.5
2013-04,NBC/WSJ,47.0,48.0
2013-04,Quinnipiac,45.0,46.5
2013-04,Rasmussen,50.0,49.0
2013-04,YouGov/Economist,45.5,48.0
2013-05,ABC/Post,51.0,44.0
2013-05,ARG,49.0,46.0
2013-05,Allstate/National Journal,48.0,46.0
2013-05,Bloomberg,49.0,46.0
2013-05,CNN,50.0,47.0
2013-05,FOX,42.5,51.5
2013-05,Gallup,49.0,44.0
2013-05,Ipsos/Reuters (Web),42.0,53.0
2013-05,NBC/WSJ,48.0,47.0
2013-05,Pew,51.0,43.0
2013-05,Quinnipiac,41.0,53.0
2013-05,Rasmussen,49.0,49.5
2013-05,Reason/Rupe,47.5,45.5
2013-05,YouGov/Economist,42.0,51.5
2013-06,ARG,46.0,50.0
2013-06,CNN,41.0,57.5
2013-06,FOX,38.5,53.5
2013-06,Gallup,47.0,45.0
2013-06,Ipsos/Reuters (Web),41.5,52.5
2013-06,PPP (D),44.5,50.0
2013-06,Pew,45.0,46.5
2013-06,Quinnipiac,40.0,50.5
2013-06,Rasmussen,47.0,51.0
2013-06,Time,44.5,48.5
2013-06,YouGov/Economist,41.5,53.0
2013-07,ABC/Post,47.0,46.0
2013-07,ARG,48.0,48.0
2013-07,Democracy Corps (D-WVWV),46.0,49.0
2013-07,FOX,35.5,53.5
2013-07,Gallup,46.0,47.0
2013-07,Ipsos/Reuters (Web),34.5,56.0
2013-07,McClatchy/Marist,35.5,53.5
2013-07,Monmouth University,39.5,52.5
2013-07,NBC/WSJ,45.0,50.0
2013-07,Pew,42.5,49.5
2013-07,Quinnipiac,40.0,52.5
2013-07,Rasmussen,48.0,51.0
2013-07,YouGov/Economist,39.0,54.5
2013-08,ARG,47.0,49.0
2013-08,FOX,37.0,56.0
2013-08,Gallup,45.0,47.0
2013-08,Ipsos/Reuters (Web),37.5,56.0
2013-08,NBC News,44.0,48.0
2013-08,Rasmussen,47.0,52.0
2013-08,YouGov/Economist,39.5,55.5
2013-09,ABC/Post,44.5,50.5
2013-09,ARG,44.0,52.0
2013-09,Allstate/National Journal,40.0,54.0
2013-09,Bloomberg,45.0,49.0
2013-09,CBS/Times,44.5,47.5
2013-09,CNN,40.5,56.0
2013-09,FOX,34.5,57.0
2013-09,Gallup,44.5,47.0
2013-09,Ipsos/Reuters (Web),35.5,57.5
2013-09,McClatchy/Marist,41.5,48.5
2013-09,NBC/WSJ,45.0,50.0
2013-09,PPP (D),42.5,53.0
2013-09,Pew/USA Today,40.0,52.0
2013-09,Quinnipiac,40.5,52.0
2013-09,Rasmussen,48.0,50.5
2013-09,Reason/Rupe,42.0,52.0
2013-09,UConn/Hartford Courant,41.5,50.5
2013-09,YouGov/Economist,37.0,56.5
2013-10,ABC/Post,45.5,50.5
2013-10,AP-GFK (Web),37.0,53.0
2013-10,ARG,44.0,52.0
2013-10,CBS,43.5,51.5
2013-10,CNN,39.0,56.5
2013-10,Democracy Corps (D-WVWV),46.0,49.0
2013-10,FOX,36.5,55.0
2013-10,GWU/Battleground,46.0,52.0
2013-10,Gallup,43.0,51.0
2013-10,Ipsos/Reuters (Web),33.5,58.5
2013-10,NBC/WSJ,44.5,49.5
2013-10,PPP (D),45.0,52.0
2013-10,Pew,41.0,53.0
2013-10,Rasmussen,48.0,50.0
2013-10,YouGov/Economist,40.0,55.0
2013-11,ABC/Post,37.5,59.0
2013-11,ARG,41.5,53.5
2013-11,Allstate/National Journal,38.0,55.0
2013-11,CBS,33.0,60.0
2013-11,CNN,41.0,56.0
2013-11,FOX,36.0,59.0
2013-11,Gallup,41.0,53.0
2013-11,Ipsos/Reuters (Web),38.0,56.0
2013-11,Quinnipiac,34.5,58.5
2013-11,Rasmussen,45.0,54.0
2013-11,YouGov/Economist,34.5,59.5
2013-12,ABC/Post,41.0,57.5
2013-12,AP-GFK (Web),42.0,58.0
2013-12,ARG,39.0,56.5
2013-12,Bloomberg,42.0,55.0
2013-12,CBS/Times,38.0,51.5
2013-12,CNN,36.5,60.0
2013-12,FOX,36.0,56.5
2013-12,Fairleigh Dickinson,26.5,54.0
2013-12,Gallup,41.0,51.0
2013-12,McClatchy/Marist,42.0,54.5
2013-12,NBC/WSJ,43.0,54.0
2013-12,PPP (D),34.0,62.0
2013-12,Pew/USA Today,40.5,53.0
2013-12,Quinnipiac,34.0,59.5
2013-12,Rasmussen,47.0,52.0
2013-12,Reason/Rupe,44.5,51.5
2013-12,Saint Leo University,43.0,49.0
2013-12,YouGov/Economist,37.5,60.0
2014-01,ABC/Post,43.5,51.5
2014-01,AP-GFK (Web),45.0,53.0
2014-01,ARG,43.5,53.0
2014-01,CBS,43.5,48.5
2014-01,CNN,41.5,52.5
2014-01,FOX,38.5,55.0
2014-01,Gallup,41.0,51.0
2014-01,Ipsos/Reuters (Web),32.0,60.5
2014-01,McLaughlin (R-Madison Coalition),46.0,52.0
2014-01,NBC/WSJ,43.0,51.0
2014-01,PPP (D),36.5,55.5
2014-01,Pew/USA Today,40.0,51.0
2014-01,Quinnipiac,38.0,56.0
2014-01,Rasmussen,48.0,50.5
2014-01,YouGov/Economist,40.5,57.0
2014-02,ABC/Post,44.0,52.0
2014-02,CBS/Times,39.0,52.0
2014-02,FOX,35.5,59.0
2014-02,Gallup,42.0,52.0
2014-02,McClatchy/Marist,38.5,55.0
2014-02,McLaughlin (R),44.0,54.0
2014-02,Rasmussen,48.0,51.0
2014-02,YouGov/Economist,42.0,55.5
2014-03,AP-GFK (Web),41.0,59.0
2014-03,ARG,46.0,51.5
2014-03,Bloomberg,48.0,48.0
2014-03,CBS,38.5,53.0
2014-03,CNN,39.0,55.5
2014-03,FOX,33.0,56.0
2014-03,GWU/Battleground,44.0,53.0
2014-03,Gallup,43.0,52.0
2014-03,Ipsos/Reuters,33.5,61.0
2014-03,McLaughlin (R),44.0,53.0
2014-03,NBC/WSJ,41.0,54.0
2014-03,NPR,40.5,56.0
2014-03,PPP (D),36.5,56.5
2014-03,Quinnipiac,39.5,51.0
2014-03,Rasmussen,47.0,51.0
2014-03,Reason/Rupe,39.0,55.0
2014-03,Saint Leo University,47.0,49.0
2014-03,YouGov/Economist,41.0,56.0
2014-04,ABC/Post,37.0,55.5
2014-04,ARG,41.5,53.5
2014-04,Allstate/National Journal,41.0,52.0
2014-04,FOX,37.0,56.0
2014-04,Gallup,44.0,51.0
2014-04,Ipsos/Reuters,34.5,59.0
2014-04,McClatchy/Marist,44.5,52.5
2014-04,NBC/WSJ,44.0,50.0
2014-04,Pew/USA Today,44.0,50.0
2014-04,Rasmussen,47.0,52.0
2014-04,YouGov/Economist,40.5,55.0
2014-05,ABC/Post,41.5,55.5
2014-05,AP-GFK (Web),43.0,56.0
2014-05,ARG,40.0,53.5
2014-05,CBS,38.0,51.0
2014-05,CNN,38.5,58.5
2014-05,FOX,38.5,55.0
2014-05,Gallup,44.0,51.0
2014-05,Public Opinion Strategies (R),37.5,55.0
2014-05,Rasmussen,49.0,50.0
2014-05,Saint Leo University,47.0,51.5
2014-05,YouGov/Economist,41.5,53.5
2014-06,ARG,35.0,61.5
2014-06,Bloomberg,43.0,53.0
2014-06,CBS/Times,37.0,56.0
2014-06,FOX,36.5,54.0
2014-06,Gallup,42.0,53.0
2014-06,NBC/WSJ,41.0,53.0
2014-06,Quinnipiac,35.5,56.0
2014-06,Rasmussen,47.5,51.0
2014-06,YouGov/Economist,41.0,55.0
2014-06,Zogby (Internet),44.0,54.0
2014-07,AP-GFK (Web),40.0,59.0
2014-07,ARG,34.5,63.0
2014-07,CBS,38.5,50.0
2014-07,CNN,38.0,58.5
2014-07,FOX,36.5,55.5
2014-07,Gallup,42.0,52.5
2014-07,NBC/WSJ,40.0,54.0
2014-07,Pew,44.0,49.0
2014-07,Rasmussen,46.0,53.0
2014-07,YouGov/Economist,37.0,57.0
2014-08,ARG,40.0,56.0
2014-08,FOX,36.0,53.0
2014-08,GWU/Battleground,44.0,51.0
2014-08,Gallup,42.0,52.0
2014-08,McClatchy/Marist,37.5,52.5
2014-08,Pew/USA Today,42.0,50.0
2014-08,Rasmussen,46.0,53.0
2014-08,Reason/Rupe,43.0,52.0
2014-08,YouGov/Economist,40.5,55.0
2014-09,ABC/Post,39.5,52.5
2014-09,AP-GFK (Web),43.0,56.0
2014-09,ARG,37.0,53.5
2014-09,CBS/Times,38.0,50.5
2014-09,CNN,41.0,55.0
2014-09,FOX,32.0,58.0
2014-09,Gallup,42.0,53.0
2014-09,McClatchy/Marist,43.5,53.0
2014-09,NBC/WSJ,40.0,54.0
2014-09,Pew,42.0,50.0
2014-09,Rasmussen,47.0,52.0
2014-09,YouGov/Economist,37.0,57.5
2014-10,ABC/Post,38.5,54.0
2014-10,AP-GFK (Web),42.0,58.0
2014-10,CBS,36.5,51.0
2014-10,CNN,41.0,56.0
2014-10,Democracy Corps (D),44.0,52.0
2014-10,FOX,32.5,58.0
2014-10,Gallup,42.0,54.0
2014-10,Ipsos/Reuters,30.5,61.5
2014-10,NBC/WSJ,42.0,52.0
2014-10,Pew,43.0,51.0
2014-10,Rasmussen,47.0,52.0
2014-10,Reason/Rupe,39.0,52.0
2014-10,USA Today/PSRAI,44.0,50.0
2014-10,YouGov/Economist,36.0,60.0
2014-11,ARG,38.5,55.5
2014-11,Gallup,42.0,53.0
2014-11,NBC/WSJ,44.0,50.0
2014-11,Pew,43.0,52.0
2014-11,Quinnipiac,36.5,54.0
2014-11,Rasmussen,47.5,51.0
2014-11,YouGov/Economist,38.5,57.0
2014-12,ABC/Post,41.0,54.0
2014-12,AP-GFK (Web),41.0,58.0
2014-12,ARG,44.0,51.5
2014-12,CNN,47.0,50.5
2014-12,FOX,36.0,56.0
2014-12,Gallup,44.0,51.0
2014-12,McClatchy/Marist,41.5,53.5
2014-12,NBC/WSJ,45.0,50.0
2014-12,Pew,42.0,51.0
2014-12,Rasmussen,48.0,51.0
2014-12,YouGov/Economist,38.0,57.5
2015-01,ABC/Post,48.0,45.0
2015-01,AP-GFK (Web),47.0,52.0
2015-01,ARG,45.0,50.0
2015-01,CBS,45.5,45.0
2015-01,FOX,43.5,51.5
2015-01,Gallup,46.0,48.0
2015-01,Ipsos/Reuters,37.0,53.0
2015-01,NBC/WSJ,46.0,48.0
2015-01,PPP (D),43.0,49.5
2015-01,Pew,47.0,48.0
2015-01,Public Religion Research Institute ,49.0,43.0
2015-01,Rasmussen,49.0,49.5
2015-01,Reason/Rupe,44.5,45.5
2015-01,Suffolk/USA Today,35.5,55.5
2015-01,YouGov/Economist,39.5,55.0
2015-02,ARG,44.5,51.0
2015-02,Allstate/National Journal,46.0,48.0
2015-02,CBS,41.5,46.5
2015-02,CNN,45.0,52.5
2015-02,FOX,35.5,54.5
2015-02,Gallup,46.0,49.0
2015-02,Ipsos/Reuters,37.5,57.5
2015-02,PPP (D),36.5,57.0
2015-02,Pew,46.5,48.0
2015-02,Quinnipiac,40.5,52.0
2015-02,Rasmussen,49.0,50.0
2015-02,YouGov/Economist,41.0,53.0
2015-03,ABC/Post,47.5,46.5
2015-03,ARG,41.5,54.5
2015-03,CBS,43.5,45.5
2015-03,CNN,44.5,51.5
2015-03,FOX,39.5,54.5
2015-03,Gallup,46.0,49.0
2015-03,Ipsos/Reuters,36.5,55.5
2015-03,Monmouth University,39.0,49.0
2015-03,NBC/WSJ,46.0,50.0
2015-03,PPP (D),36.0,58.0
2015-03,Pew,46.0,47.0
2015-03,Rasmussen,48.0,51.0
2015-03,YouGov/Economist,44.0,52.5
2015-03,Zogby (Internet),47.0,49.0
2015-04,AP-GFK (Web),45.0,55.0
2015-04,ARG,40.5,53.5
2015-04,Bloomberg/Selzer,47.0,46.0
2015-04,CBS/Times,45.0,44.0
2015-04,CNN,45.5,49.0
2015-04,FOX,36.0,55.5
2015-04,Gallup,47.0,49.0
2015-04,Ipsos/Reuters,42.0,52.0
2015-04,NBC/SurveyMonkey,51.0,48.0
2015-04,NBC/WSJ,48.0,47.0
2015-04,Quinnipiac,42.0,50.0
2015-04,Rasmussen,47.0,51.0
2015-04,Suffolk/USA Today,39.0,49.5
2015-04,YouGov/Economist,45.0,53.5
2015-05,ABC/Post,42.5,51.5
2015-05,ARG,46.0,49.0
2015-05,Allstate/National Journal,46.0,46.0
2015-05,CBS,38.5,49.0
2015-05,CNN,42.0,55.0
2015-05,FOX,45.0,47.0
2015-05,GWU/Battleground,46.0,49.0
2015-05,Gallup,47.0,49.0
2015-05,Ipsos/Reuters,42.0,50.5
2015-05,Pew,46.0,48.0
2015-05,Quinnipiac,41.5,50.0
2015-05,Rasmussen,47.0,52.0
2015-05,YouGov/Economist,44.5,53.0
2015-05,Zogby (Internet),46.0,52.0
2015-06,ARG,45.0,51.0
2015-06,CNN,48.5,48.0
2015-06,FOX,40.5,51.5
2015-06,GQR (D-Democracy Corps/Women's Voices Women Vote/Voter Participation Center),50.0,46.0
2015-06,Gallup,46.0,49.5
2015-06,Ipsos/Reuters,39.0,55.0
2015-06,McLaughlin (R),41.0,56.5
2015-06,Monmouth University,38.0,49.5
2015-06,NBC/WSJ,48.0,48.0
2015-06,PPP (D),40.0,53.5
2015-06,Rasmussen,47.0,52.0
2015-06,YouGov/Economist,43.5,54.0
2015-06,Zogby (Internet),45.5,52.0
2015-07,ABC/Post,43.0,52.0
2015-07,AP-GFK (Web),43.0,55.0
2015-07,ARG,43.0,53.5
2015-07,CBS,42.0,47.0
2015-07,CNN,45.5,49.5
2015-07,Emerson College Polling Society,41.0,53.0
2015-07,FOX,43.0,48.5
2015-07,Gallup,46.0,49.0
2015-07,Gravis Marketing/OANN,44.0,52.0
2015-07,Ipsos/Reuters,39.5,55.5
2015-07,McClatchy/Marist,45.5,46.0
2015-07,Monmouth University,43.5,49.0
2015-07,Morning Consult,40.0,55.0
2015-07,NBC/WSJ,45.0,50.0
2015-07,PPP (D),38.0,52.0
2015-07,Pew,48.0,45.0
2015-07,Quinnipiac,41.0,53.0
2015-07,Rasmussen,46.5,52.0
2015-07,Suffolk/USA Today,40.5,48.0
2015-07,YouGov/Economist,44.5,51.0
2015-08,ARG,44.5,52.0
2015-08,CNN,44.5,52.5
2015-08,FOX,37.0,54.0
2015-08,Gallup,45.0,50.0
2015-08,Gravis Marketing/OANN,42.0,51.0
2015-08,Ipsos/Reuters,42.5,51.5
2015-08,Monmouth University,41.0,52.5
2015-08,Morning Consult,39.5,57.0
2015-08,PPP (D),42.5,51.0
2015-08,Quinnipiac,41.0,56.5
2015-08,Rasmussen,47.0,52.0
2015-08,YouGov/Economist,41.5,49.5
2015-09,ABC/Post,46.5,47.5
2015-09,ARG,43.0,54.0
2015-09,Allstate/National Journal,44.0,47.0
2015-09,Bloomberg/Selzer,46.0,47.0
2015-09,CNN,45.0,51.0
2015-09,Emerson College Polling Society,38.0,51.5
2015-09,FOX,37.0,56.0
2015-09,Gallup,47.0,50.0
2015-09,Gravis Marketing/OANN,39.0,52.0
2015-09,Ipsos/Reuters,43.0,51.0
2015-09,McLaughlin (R),45.0,53.0
2015-09,Morning Consult,38.5,57.5
2015-09,NBC/SurveyMonkey,48.0,52.0
2015-09,NBC/WSJ,47.0,47.0
2015-09,Pew,46.0,48.0
2015-09,Quinnipiac,44.0,52.0
2015-09,Rasmussen,46.0,53.0
2015-09,Suffolk/USA Today,43.5,48.0
2015-09,YouGov/Economist,45.0,47.0
2015-09,Zogby (Internet),42.0,51.5
2015-10,ABC/Post,49.5,45.5
2015-10,AP-GFK (Web),46.0,54.0
2015-10,ARG,47.0,50.0
2015-10,CBS,43.0,45.5
2015-10,CNN,46.0,51.0
2015-10,Emerson College Polling Society,41.0,52.0
2015-10,FOX,40.0,55.0
2015-10,Gallup,46.0,49.5
2015-10,Gravis Marketing/OANN,41.0,50.0
2015-10,Ipsos/Reuters,41.0,52.5
2015-10,McClatchy/Marist,46.5,49.5
2015-10,Monmouth University,45.0,45.0
2015-10,Morning Consult,40.5,55.0
2015-10,NBC/SurveyMonkey,47.0,51.0
2015-10,NBC/WSJ,45.5,49.0
2015-10,PPP (D),38.5,54.5
2015-10,Quinnipiac,39.5,56.5
2015-10,Rasmussen,46.0,52.0
2015-10,Saint Leo University,50.0,47.0
2015-10,USC/LA Times/SurveyMonkey,42.5,56.5
2015-10,YouGov/Economist,43.0,51.0
2015-10,Zogby (Internet),38.0,56.5
2015-11,ABC/Post,46.0,50.0
2015-11,ARG,39.0,58.5
2015-11,Bloomberg/Selzer,44.0,51.0
2015-11,CBS,39.5,47.0
2015-11,CBS/Times,45.0,48.0
2015-11,CNN,42.0,54.5
2015-11,FOX,34.0,57.5
2015-11,Gallup,47.0,49.0
2015-11,Gravis Marketing/OANN,42.0,52.0
2015-11,IBD/TIPP,41.5,48.5
2015-11,Ipsos/Reuters,36.5,56.0
2015-11,Morning Consult,38.0,57.5
2015-11,PPP (D),40.0,54.0
2015-11,Quinnipiac,42.5,52.5
2015-11,Rasmussen,45.5,53.5
2015-11,Saint Leo University,48.0,48.0
2015-11,YouGov/Economist,42.0,51.0
2015-12,ABC/Post,45.0,51.0
2015-12,ARG,36.5,59.0
2015-12,CBS/Times,42.0,47.0
2015-12,CNN,45.5,53.0
2015-12,Emerson College Polling Society,42.0,55.0
2015-12,FOX,38.5,52.5
2015-12,Gallup,46.0,50.0
2015-12,Gravis Marketing/OANN,39.0,53.0
2015-12,Ipsos/Reuters,39.0,55.5
2015-12,Monmouth University,36.0,53.0
2015-12,Morning Consult,36.5,59.0
2015-12,NBC/SurveyMonkey,48.0,52.0
2015-12,NBC/WSJ,43.0,51.0
2015-12,PPP (D),39.0,51.5
2015-12,Pew,46.0,49.0
2015-12,Quinnipiac,40.5,53.5
2015-12,Rasmussen,46.0,53.0
2015-12,Suffolk/USA Today,41.5,52.0
2015-12,YouGov/Economist,42.0,53.0
2016-01,ABC/Post,50.0,46.0
2016-01,Allstate/National Journal,47.0,47.0
2016-01,CBS/Times,44.5,46.5
2016-01,CNN,46.0,49.0
2016-01,FOX,42.0,52.0
2016-01,Gallup,48.0,48.0
2016-01,Gravis Marketing/OANN,42.0,52.0
2016-01,IBD/TIPP,46.0,45.5
2016-01,Ipsos/Reuters,43.0,52.0
2016-01,Monmouth University,42.5,45.5
2016-01,Morning Consult,41.0,56.0
2016-01,NBC/SurveyMonkey,47.5,52.0
2016-01,Pew,46.0,48.0
2016-01,Rasmussen,48.0,51.0
2016-01,YouGov/Economist,39.5,53.0
2016-01,Zogby (Internet),47.0,49.0
2016-02,AP-GFK (Web),44.0,55.0
2016-02,ARG,42.5,52.5
2016-02,CBS,44.5,44.5
2016-02,CNN,50.0,46.0
2016-02,FOX,49.0,47.0
2016-02,Gallup,48.0,48.0
2016-02,High Point University,44.0,47.0
2016-02,IBD/TIPP,46.0,47.0
2016-02,Ipsos/Reuters,40.0,52.5
2016-02,McLaughlin (R),47.0,52.0
2016-02,Morning Consult,43.5,52.5
2016-02,NBC/SurveyMonkey,50.0,50.0
2016-02,NBC/WSJ,49.0,47.0
2016-02,PPP (D),42.5,52.0
2016-02,Quinnipiac,43.0,54.0
2016-02,Rasmussen,49.0,50.0
2016-02,Suffolk/USA Today,33.5,55.5
2016-02,YouGov/Economist,41.5,49.5
2016-03,ABC/Post,51.0,43.0
2016-03,AP-GFK (Web),50.0,50.0
2016-03,ARG,44.5,51.0
2016-03,CBS/Times,46.0,43.5
2016-03,CNN,51.0,46.0
2016-03,FOX,43.0,49.5
2016-03,GQR (D-Democracy Corps/Women's Voices Women Vote),54.0,44.0
2016-03,Gallup,51.0,45.0
2016-03,IBD/TIPP,47.5,43.5
2016-03,Ipsos/Reuters,41.0,53.5
2016-03,McClatchy/Marist,49.0,46.5
2016-03,McLaughlin (R),48.5,49.5
2016-03,Monmouth University,46.0,45.0
